Example_Number,SMILES,Chemical_Name,TR-FRET assay protocol,Ki_BDI_uM,Ki_BDII_uM,Cellular proliferation: EC50 (μM)
141,FC1=C(C=CC(=C1)F)N1C=C2C=C(C3=C(C4=C2C1C(CN4)C(=O)N)C(N(C=C3)C)=O)CS(=O)(=O)C,"4-(2,4-difluorophenyl)-10-methyl-7-((methylsulfonyl)methyl)-11-oxo-3,4,10,11-tetrahydro-1H-1,4,10-triazadibenzo[cd,f]azulene-3-carboxamide",G,0.0208,0.0109,0.319
142,FC1=C(C=CC(=C1)F)N1C=C2C=C(C3=C(C4=C2C1C(CN4)CCCO)C(N(C=C3)C)=O)CS(=O)(=O)C,"4-(2,4-difluorophenyl)-3-(3-hydroxypropyl)-10-methyl-7-((methylsulfonyl)methyl)-3,4-dihydro-1H-1,4,10-triazadibenzo[cd,f]azulen-11(10H)-one",G,0.00861,0.0006,0.0518
143,FC1=C(C=CC(=C1)F)N1C=C2C=C(C3=C(C4=C2C1C(CN4)CCCOC4=CC=CC=C4)C(N(C=C3)C)=O)CS(=O)(=O)C,"4-(2,4-difluorophenyl)-10-methyl-7-((methylsulfonyl)methyl)-3-(3-phenoxypropyl)-3,4-dihydro-1H-1,4,10-triazadibenzo[cd,f]azulen-11(10H)-one",G,0.0549,0.00306,0.175
144,FC1=C(C=CC(=C1)F)N1C=C2C=C(C3=C(C4=C2C1[C@H](CN4)CCCOC4=CC=CC=C4)C(N(C=C3)C)=O)CS(=O)(=O)C,"(S)-4-(2,4-difluorophenyl)-10-methyl-7-((methylsulfonyl)methyl)-3-(3-phenoxypropyl)-3,4-dihydro-1H-1,4,10-triazadibenzo[cd,f]azulen-11(10H)-one",G,> 0.238,0.0188,0.318
145,FC1=C(C=CC(=C1)F)N1C=C2C=C(C3=C(C4=C2C1[C@@H](CN4)CCCOC4=CC=CC=C4)C(N(C=C3)C)=O)CS(=O)(=O)C,"(R)-4-(2,4-difluorophenyl)-10-methyl-7-((methylsulfonyl)methyl)-3-(3-phenoxypropyl)-3,4-dihydro-1H-1,4,10-triazadibenzo[cd,f]azulen-11(10H)-one",G,0.0551,0.00138,0.0806
146,ClC1=CC=C(C=C1)N1C=C2C=CC3=C(C4=C2C1CC(N4)CN4CCN(CC4)C)C(N(C=C3)C)=O,"4-(4-chlorophenyl)-10-methyl-2-((4-methylpiperazin-1-yl)methyl)-3,4-dihydro-1H-1,4,10-triazadibenzo[cd,f]azulen11(10H)-one",G,0.00142,0.017,0.124
147,FC1=C(C=CC(=C1)F)N1C=C2C=C(C3=C(C4=C2C1C(CN4)CCCOC)C(N(C=C3)C)=O)CS(=O)(=O)C,"4-(2,4-difluorophenyl)-3-(3-methoxypropyl)-10-methyl-7-((methylsulfonyl)methyl)-3,4-dihydro-1H-1,4,10-triazadibenzo[cd,f]azulen-11(10H)-one",G,0.00702,0.00097,0.0203
148,FC1=C(C=CC(=C1)F)N1C=C2C=C(C3=C(C4=C2C1C(CN4)CCCOCC)C(N(C=C3)C)=O)CS(=O)(=O)C,"4-(2,4-difluorophenyl)-3-(3-ethoxypropyl)-10-methyl-7-((methylsulfonyl)methyl)-3,4-dihydro-1H-1,4,10-triazadibenzo[cd,f]azulen-11(10H)-one",G,0.00677,0.00054,0.0319
149,C(C(C)C)N1C=C2C=C(C3=C(C4=C2C1CCN4)C(N(C=C3)C)=O)CS(=O)(=O)C,"4-isobutyl-10-methyl-7-((methylsulfonyl)methyl)-3,4-dihydro-1H-1,4,10-triazadibenzo[cd,f]azulen-11(10H)-one",G,0.00178,0.00082,0.00193
150,C(C)N1CC(CCC1)CN1C=C2C=C(C3=C(C4=C2C1CCN4)C(N(C=C3)C)=O)CS(=O)(=O)C,"4-((1-ethylpiperidin-3-yl)methyl)-10-methyl-7-((methylsulfonyl)methyl)-3,4-dihydro-1H-1,4,10-triazadibenzo[cd,f]azulen-11(10H)-one",G,0.00405,0.0108,ND
151,CN1C=CC2=C(C3=C4C(N(C=C4C=C2CS(=O)(=O)C)C2CCOCC2)CCN3)C1=O,"10-methyl-7-((methylsulfonyl)methyl)-4-(tetrahydro-2H-pyran-4-yl)-3,4-dihydro-1H-1,4,10-triazadibenzo[cd,f]azulen11(10H)-one",G,0.00114,0.0023,0.00426
152,CC1(OCCC(C1)CN1C=C2C=C(C3=C(C4=C2C1CCN4)C(N(C=C3)C)=O)CS(=O)(=O)C)C,"4-((2,2-dimethyltetrahydro-2H-pyran-4-yl)methyl)-10-methyl-7-((methylsulfonyl)methyl)-3,4-dihydro-1H-1,4,10-triazadibenzo[cd,f]azulen-11(10H)-one",G,0.00718,0.011,ND
153,C(C)OCCC(C)N1C=C2C=C(C3=C(C4=C2C1CCN4)C(N(C=C3)C)=O)CS(=O)(=O)C,"4-(4-ethoxybutan-2-yl)-10-methyl-7-((methylsulfonyl)methyl)-3,4-dihydro-1H-1,4,10-triazadibenzo[cd,f]azulen-11(10H)-one",G,0.00372,0.00918,ND
154,C(#N)CCNC(=O)C1CNC2=C3C1N(C=C3C=C(C3=C2C(N(C=C3)C)=O)CS(=O)(=O)C)C3=C(C=C(C=C3)F)F,"N-(2-cyanoethyl)-4-(2,4-difluorophenyl)-10-methyl-7-((methylsulfonyl)methyl)-11-oxo-3,4,10,11-tetrahydro-1H-1,4,10triazadibenzo[cd,f]azulene-3-carboxamide",G,0.0507,0.0531,ND
155,FC1=C(C=CC(=C1)F)N1C=C2C=C(C3=C(C4=C2C1C(CN4)C(=O)NCC(=O)OC)C(N(C=C3)C)=O)CS(=O)(=O)C,"methyl 2-(4-(2,4-difluorophenyl)-10-methyl-7-((methylsulfonyl)methyl)-11-oxo-3,4,10,11tetrahydro-1H-1,4,10-triazadibenzo[cd,f]azulene-3-carboxamido)acetate",G,0.0427,0.0478,0.349
156,FC1=C(C=CC(=C1)F)N1C=C2C=C(C3=C(C4=C2C1C(CN4)C(=O)NCCC4=CC=CC=C4)C(N(C=C3)C)=O)CS(=O)(=O)C,"4-(2,4-difluorophenyl)-10-methyl-7-((methylsulfonyl)methyl)-11-oxo-N-phenethyl-3,4,10,11-tetrahydro-1H-1,4,10-triazadibenzo[cd,f]azulene-3-carboxamide",G,0.0468,0.0421,0.214
157,C(CCC)NC(=O)C1CNC2=C3C1N(C=C3C=C(C3=C2C(N(C=C3)C)=O)CS(=O)(=O)C)C3=C(C=C(C=C3)F)F,"N-butyl-4-(2,4-difluorophenyl)-10-methyl-7-((methylsulfonyl)methyl)-11-oxo-3,4,10,11-tetrahydro-1H-1,4,10-triazadibenzo[cd,f]azulene-3-carboxamide",G,0.0396,0.0239,0.0774
158,C1(CCCCC1)NC(=O)C1CNC2=C3C1N(C=C3C=C(C3=C2C(N(C=C3)C)=O)CS(=O)(=O)C)C3=C(C=C(C=C3)F)F,"N-cyclohexyl-4-(2,4-difluorophenyl)-10-methyl-7-((methylsulfonyl)methyl)-11-oxo-3,4,10,11-tetrahydro-1H-1,4,10-triazadibenzo[cd,f]azulene-3-carboxamide",G,0.0603,0.0773,ND
159,C(C1=CC=CC=C1)NC(=O)C1CNC2=C3C1N(C=C3C=C(C3=C2C(N(C=C3)C)=O)CS(=O)(=O)C)C3=C(C=C(C=C3)F)F,"N-benzyl-4-(2,4-difluorophenyl)-10-methyl-7-((methylsulfonyl)methyl)-11-oxo-3,4,10,11-tetrahydro-1H-1,4,10-triazadibenzo[cd,f]azulene-3-carboxamide",G,0.0386,0.0198,0.0578
160,FC1=C(C=CC(=C1)F)N1C=C2C=C(C3=C(C4=C2C1C(CN4)C(=O)NCCCC4=CC=CC=C4)C(N(C=C3)C)=O)CS(=O)(=O)C,"4-(2,4-difluorophenyl)-10-methyl-7-((methylsulfonyl)methyl)-11-oxo-N-(3-phenylpropyl)-3,4,10,11-tetrahydro-1H-1,4,10-triazadibenzo[cd,f]azulene-3-carboxamide",G,0.125,0.118,ND
161,FC1=C(C=CC(=C1)F)N1C=C2C=C(C3=C(C4=C2C1C(CN4)C(=O)NCC(C)C)C(N(C=C3)C)=O)CS(=O)(=O)C,"4-(2,4-difluorophenyl)-N-isobutyl-10-methyl-7-((methylsulfonyl)methyl)-11-oxo-3,4,10,11-tetrahydro1H-1,4,10-triazadibenzo[cd,f]azulene-3-carboxamide",G,0.0321,0.0214,0.0416
162,FC1=C(C=CC(=C1)F)N1C=C2C=C(C3=C(C4=C2C1C(CN4)C(=O)NCCO)C(N(C=C3)C)=O)CS(=O)(=O)C,"4-(2,4-difluorophenyl)-N-(2-hydroxyethyl)-10-methyl-7-((methylsulfonyl)methyl)-11-oxo-3,4,10,11-tetrahydro-1H-1,4,10-triazadibenzo[cd,f]azulene-3-carboxamide",G,0.0471,0.0604,ND
163,FC1=C(C=CC(=C1)F)N1C=C2C=C(C3=C(C4=C2C1C(CN4)C(=O)NCC=4N=COC4)C(N(C=C3)C)=O)CS(=O)(=O)C,"4-(2,4-difluorophenyl)-10-methyl-7-((methylsulfonyl)methyl)-N-(oxazol-4-ylmethyl)-11-oxo-3,4,10,11-tetrahydro-1H1,4,10-triazadibenzo[cd,f]azulene-3-carboxamide",G,0.0574,0.0454,ND
164,C1(CC1)CNC(=O)C1CNC2=C3C1N(C=C3C=C(C3=C2C(N(C=C3)C)=O)CS(=O)(=O)C)C3=C(C=C(C=C3)F)F,"N-(cyclopropylmethyl)-4-(2,4-difluorophenyl)-10-methyl-7-((methylsulfonyl)methyl)-11-oxo-3,4,10,11-tetrahydro-1H-1,4,10-triazadibenzo[cd,f]azulene-3-carboxamide",G,0.0417,0.03,0.0725
165,FC1=C(C=CC(=C1)F)N1C=C2C=C(C3=C(C4=C2C1C(CN4)C(=O)NCC(C)(C)O)C(N(C=C3)C)=O)CS(=O)(=O)C,"4-(2,4-difluorophenyl)-N-(2-hydroxy-2-methylpropyl)-10-methyl-7-((methylsulfonyl)methyl)-11-oxo-3,4,10,11-tetrahydro-1H-1,4,10-triazadibenzo[cd,f]azulene-3-carboxamide",G,0.0814,0.0796,ND
166,FC1=C(C=CC(=C1)F)N1C=C2C=C(C3=C(C4=C2C1C(CN4)C(=O)NC4(CC4)CO)C(N(C=C3)C)=O)CS(=O)(=O)C,"4-(2,4-difluorophenyl)-N-(1-(hydroxymethyl)cyclopropyl)-10-methyl-7-((methylsulfonyl)methyl)-11-oxo-3,4,10,11-tetrahydro-1H-1,4,10-triazadibenzo[cd,f]azulene-3-carboxamide",G,0.06,0.0733,ND
167,FC1=C(C=CC(=C1)F)N1C=C2C=C(C3=C(C4=C2C1C(CN4)C(=O)NC4(CC4)C)C(N(C=C3)C)=O)CS(=O)(=O)C,"4-(2,4-difluorophenyl)-10-methyl-N-(1-methylcyclopropyl)-7-((methylsulfonyl)methyl)-11-oxo-3,4,10,11-tetrahydro-1H-1,4,10-triazadibenzo[cd,f]azulene-3-carboxamide",G,0.0692,0.0763,ND
168,FC1=C(C=CC(=C1)F)N1C=C2C=C(C3=C(C4=C2C1C(CN4)C(=O)NCCCCC4=CC=CC=C4)C(N(C=C3)C)=O)CS(=O)(=O)C,"4-(2,4-difluorophenyl)-10-methyl-7-((methylsulfonyl)methyl)-11-oxo-N-(4-phenylbutyl)-3,4,10,11-tetrahydro-1H-1,4,10triazadibenzo[cd,f]azulene-3-carboxamide",G,0.0932,0.124,ND
169,CC(CC(=O)N1C(=C2C=C(C3=C(C4=C2C1CCN4)C(N(C=C3)C)=O)F)F)(C)C,"4-(3,3-dimethylbutanoyl)-5,7-difluoro-10-methyl-3,4-dihydro-1H-1,4,10-triazadibenzo[cd,f]azulen-11(10H)-one",G,0.0124,0.00467,0.0699
170,C(C)(C)(C)OC(N[C@@H]1CC[C@H](CC1)N1C=C2C=C(C3=C(C4=C2C1CCN4)C(N(C=C3)C)=O)S(=O)(=O)C)=O,"tert-butyl((trans)-4-(10-methyl-7-(methylsulfonyl)-11-oxo-10,11-dihydro-1H-1,4,10-triazadibenzo[cd,f]azulen4(3H)-yl)cyclohexyl)carbamate",G,0.00707,0.0252,0.0576
171,N[C@@H]1CC[C@H](CC1)N1C=C2C=C(C3=C(C4=C2C1CCN4)C(N(C=C3)C)=O)S(=O)(=O)C,"4-((trans)-4-aminocyclohexyl)-10-methyl-7-(methylsulfonyl)-3,4-dihydro-1H-1,4,10-triazadibenzo[cd,f]azulen11(10H)-one",G,0.0164,0.0292,ND
172,C1(CC1)S(=O)(=O)N1C=C2C=C(C3=C(C4=C2C1CCN4)C(N(C=C3)C)=O)CS(=O)(=O)C,"4-(cyclopropylsulfonyl)-10-methyl-7-((methylsulfonyl)methyl)-3,4-dihydro-1H-1,4,10-triazadibenzo[cd,f]azulen-11(10H)-one",G,0.0578,0.0128,0.551
173,FC=1N(C2C3=C(C4=C(C(=CC13)F)C=CN(C4=O)C)NCC2)C(=O)OCC,"ethyl 5,7-difluoro-10-methyl-11-oxo-10,11-dihydro-1H-1,4,10-triazadibenzo[cd,f]azulene-4(3H)-carboxylate",G,0.00672,0.00314,0.0199
174,FC1=C(C=CC(=C1)F)N1C=C2C=C(C3=C(C4=C2C1C(CN4)CCCNC)C(N(C=C3)C)=O)CS(=O)(=O)C,"4-(2,4-difluorophenyl)-10-methyl-3-(3-(methylamino)propyl)-7-((methylsulfonyl)methyl)-3,4-dihydro-1H-1,4,10-triazadibenzo[cd,f]azulen-11(10H)-one",G,0.0126,0.00153,0.239
175,FC1=C(C=CC(=C1)F)N1C=C2C=C(C3=C(C4=C2C1C(CN4)CCCN(C)C)C(N(C=C3)C)=O)CS(=O)(=O)C,"4-(2,4-difluorophenyl)-3-(3-(dimethylamino)propyl)-10-methyl-7-((methylsulfonyl)methyl)-3,4-dihydro-1H-1,4,10-triazadibenzo[cd,f]azulen-11(10H)-one",G,0.015,0.0019,0.0999
176,ClC1=CC=C(C=C1)N1C=C2C=C(C3=C(C4=C2C1CC(N4)CN4CCN(CC4)C)C(N(C=C3)C)=O)CS(=O)(=O)C,"4-(4-chlorophenyl)-10-methyl-2-((4-methylpiperazin-1-yl)methyl)-7-((methylsulfonyl)methyl)-3,4-dihydro-1H-1,4,10-triazadibenzo[cd,f]azulen-11(10H)-one",G,0.00101,0.00355,0.0142
177,FC1=CC=C(C=C1)N1C=C2C=C(C3=C(C4=C2C1CCN4)C(N(C=C3)C)=O)CC#N,"2-(4-(4-fluorophenyl)-10-methyl-11-oxo-3,4,10,11-tetrahydro-1H-1,4,10-triazadibenzo[cd,f]azulen-7-yl)acetonitrile",G,0.00202,0.00127,0.00372
178,CC(CN1C=C2C=C(C3=C(C4=C2C1CCN4)C(N(C=C3)C)=O)CS(=O)(=O)C)(CN3CCCC3)C,"4-(2,2-dimethyl-3-(pyrrolidin-1-yl)propyl)-10-methyl-7-((methylsulfonyl)methyl)-3,4-dihydro-1H-1,4,10-triazadibenzo[cd,f]azulen-11(10H)-one",G,0.00436,0.00438,0.123
179,CN1C=CC2=C(C3=C4C(N(C=C4C=C2CS(=O)(=O)C)C2CN(CC2)CC(=O)O)CCN3)C1=O,"2-(3-(10-methyl-7-((methylsulfonyl)methyl)-11-oxo-10,11-dihydro-1H-1,4,10-triazadibenzo[cd,f]azulen-4(3H)-yl)pyrrolidin-1-yl)acetic acid",G,0.0201,0.0807,ND
180,CN1C=CC2=C(C3=C4C(N(C=C4C=C2CS(=O)(=O)C)C2C(OCC2)C)CCN3)C1=O,"10-methyl-7-((methylsulfonyl)methyl)-4-(2-methyltetrahydrofuran-3-yl)-3,4-dihydro-1H-1,4,10-triazadibenzo[cd,f]azulen-11(10H)-one",G,0.00151,0.0027,ND
181,CN1C=CC2=C(C3=C4C(N(C=C4C=C2CS(=O)(=O)C)C2CCN(CC2)C)CCN3)C1=O,"10-methyl-4-(1-methylpiperidin-4-yl)-7-((methylsulfonyl)methyl)-3,4-dihydro-1H-1,4,10-triazadibenzo[cd,f]azulen11(10H)-one",G,0.00333,0.0171,ND
182,CN1C=CC2=C(C3=C4C(N(C=C4C=C2CS(=O)(=O)C)C2COCCC2)CCN3)C1=O,"10-methyl-7-((methylsulfonyl)methyl)-4-(tetrahydro-2H-pyran-3-yl)-3,4-dihydro-1H-1,4,10-triazadibenzo[cd,f]azulen-11(10H)-one",G,0.00131,0.002,0.00108
183,C(C)(C)N1CCC(CC1)CN1C=C2C=C(C3=C(C4=C2C1CCN4)C(N(C=C3)C)=O)CS(=O)(=O)C,"4-((1-isopropylpiperidin-4-yl)methyl)-10-methyl-7-((methylsulfonyl)methyl)-3,4-dihydro-1H-1,4,10-triazadibenzo[cd,f]azulen-11(10H)-one",G,0.00384,0.0155,ND
184,CN1C=CC2=C(C3=C4C(N(C=C4C=C2CS(=O)(=O)C)C(C)C2C(OCC2)=O)CCN3)C1=O,"10-methyl-7-((methylsulfonyl)methyl)-4-(1-(2-oxotetrahydrofuran-3-yl)ethyl)-3,4-dihydro-1H-1,4,10-triazadibenzo[cd,f]azulen-11(10H)-one",G,0.00434,0.00682,ND
185,COCC(C)N1C=C2C=C(C3=C(C4=C2C1CCN4)C(N(C=C3)C)=O)CS(=O)(=O)C,"4-(1-methoxypropan-2-yl)-10-methyl-7-((methylsulfonyl)methyl)-3,4-dihydro-1H-1,4,10-triazadibenzo[cd,f]azulen-11(10H)-one",G,0.00419,0.0102,0.0283
186,COCCC(C)N1C=C2C=C(C3=C(C4=C2C1CCN4)C(N(C=C3)C)=O)CS(=O)(=O)C,"4-(4-methoxybutan-2-yl)-10-methyl-7-((methylsulfonyl)methyl)-3,4-dihydro-1H-1,4,10-triazadibenzo[cd,f]azulen11(10H)-one",G,0.00421,0.0092,ND
187,CN1C=CC2=C(C3=C4C(N(C=C4C=C2CS(=O)(=O)C)C2CN(CC2)C)CCN3)C1=O,"10-methyl-4-(1-methylpyrrolidin-3-yl)-7-((methylsulfonyl)methyl)-3,4-dihydro-1H-1,4,10-triazadibenzo[cd,f]azulen-11(10H)-one",G,0.00574,0.05,ND
188,CN1C=CC2=C(C3=C4C(N(C=C4C=C2CS(=O)(=O)C)C(C)C2CCOCC2)CCN3)C1=O,"10-methyl-7-((methylsulfonyl)methyl)-4-(1-(tetrahydro-2H-pyran-4-yl)ethyl)-3,4-dihydro-1H-1,4,10-triazadibenzo[cd,f]azulen-11(10H)-one",G,0.00364,0.00462,ND
189,CN1C=CC2=C(C3=C4C(N(C=C4C=C2CS(=O)(=O)C)C2CCN(CCC2)C)CCN3)C1=O,"10-methyl-4-(1-methylazepan-4-yl)-7-((methylsulfonyl)methyl)-3,4-dihydro-1H-1,4,10-triazadibenzo[cd,f]azulen-11(10H)-one",G,0.00582,0.0223,ND
190,C(C)N1CC(CCC1)N1C=C2C=C(C3=C(C4=C2C1CCN4)C(N(C=C3)C)=O)CS(=O)(=O)C,"4-(1-ethylpiperidin-3-yl)-10-methyl-7-((methylsulfonyl)methyl)-3,4-dihydro-1H-1,4,10-triazadibenzo[cd,f]azulen-11(10H)-one",G,0.0267,0.0309,ND
191,CN1C=CC2=C(C3=C4C(N(C=C4C=C2CS(=O)(=O)C)CCC2CCOCC2)CCN3)C1=O,"10-methyl-7-((methylsulfonyl)methyl)-4-(2-(tetrahydro-2H-pyran-4-yl)ethyl)-3,4-dihydro-1H-1,4,10-triazadibenzo[cd,f]azulen-11(10H)-one",G,0.001,0.00338,0.0107
192,CN1C=CC2=C(C3=C4C(N(C=C4C=C2CS(=O)(=O)C)C2=CC=C(C#N)C=C2)CCN3)C1=O,"4-(10-methyl-7-((methylsulfonyl)methyl)-11-oxo-10,11-dihydro-1H-1,4,10-triazadibenzo[cd,f]azulen-4(3H)-yl)benzonitrile",G,0.00165,0.00108,0.00125
193,ClC1=CC=C(C=C1)N1C=C2C=C(C3=C(C4=C2C1CC(N4)CN4CCOCC4)C(N(C=C3)C)=O)CS(=O)(=O)C,"4-(4-chlorophenyl)-10-methyl-7-((methylsulfonyl)methyl)-2-(morpholinomethyl)-3,4-dihydro-1H-1,4,10-triazadibenzo[cd,f]azulen-11(10H)-one",G,0.00185,0.0124,0.0317
194,C(C)NC(=O)C1NC2=C3C(N(C=C3C=C(C3=C2C(N(C=C3)C)=O)CS(=O)(=O)C)C3=CC=C(C=C3)F)C1,"N-ethyl-4-(4-fluorophenyl)-10-methyl-7-((methylsulfonyl)methyl)-11-oxo-3,4,10,11-tetrahydro-1H-1,4,10-triazadibenzo[cd,f]azulene-2-carboxamide",G,0.00133,0.00038,0.00147
195,C1(CC1)C=1N(C2C3=C(C4=C(C(=CC13)CS(=O)(=O)C)C=CN(C4=O)C)NCC2)C2=C(C=C(C=C2)F)F,"5-cyclopropyl-4-(2,4-difluorophenyl)-10-methyl-7-((methylsulfonyl)methyl)-3,4-dihydro-1H-1,4,10-triazadibenzo[cd,f]azulen-11(10H)-one",G,0.00266,0.00062,0.00377
196,C(C)(C)(C)OC(NC1CCC(CC1)N1C=C2C=C(C3=C(C4=C2C1CCN4)C(N(C=C3)C)=O)CS(=O)(=O)C)=O,"tert-butyl(4-(10-methyl-7-((methylsulfonyl)methyl)-11-oxo-10,11-dihydro-1H-1,4,10-triazadibenzo[cd,f]azulen-4(3H)-yl)cyclohexyl)carbamate",G,0.00114,0.00172,0.00382
197,C(C)(C)(C)OC(N[C@@H]1CC[C@H](CC1)N1C=C2C=C(C3=C(C4=C2C1CCN4)C(N(C=C3)C)=O)CS(=O)(=O)C)=O,"tert-butyl((trans)-4-(10-methyl-7-((methylsulfonyl)methyl)-11-oxo-10,11-dihydro-1H-1,4,10-triazadibenzo[cd,f]azulen-4(3H)-yl)cyclohexyl)carbamate",G,0.00152,0.00265,0.00266
198,ClC1=CC=C(C=C1)N1C=C2C=C(C3=C(C4=C2C1CCN4)C(N(C=C3)C)=O)CS(=O)(=O)C,"4-(4-chlorophenyl)-10-methyl-7-((methylsulfonyl)methyl)-3,4-dihydro-1H-1,4,10-triazadibenzo[cd,f]azulen11(10H)-one",G,0.00159,0.00063,0.00069
199,ClC1=CC=C(C=C1)N1C=C2C=C(C3=C(C4=C2C1CC(N4)C#N)C(N(C=C3)C)=O)CS(=O)(=O)C,"4-(4-chlorophenyl)-10-methyl-7-((methylsulfonyl)methyl)-11-oxo-3,4,10,11-tetrahydro-1H-1,4,10-triazadibenzo[cd,f]azulene-2-carbonitrile",G,0.00081,0.00121,0.0108
200,FC1=C(C=CC(=C1)F)N1C=C2C=C(C3=C(C4=C2C1C(CN4)CO)C(N(C=C3)C)=O)CS(=O)(=O)C,"4-(2,4-difluorophenyl)-3-(hydroxymethyl)-10-methyl-7-((methylsulfonyl)methyl)-3,4-dihydro-1H-1,4,10-triazadibenzo[cd,f]azulen-11(10H)-one",G,0.00818,0.00205,0.0342
201,ClC1=CC=C(C=C1)N1C=C2C=CC3=C(C4=C2C1CC(N4)C#N)C(N(C=C3)C)=O,"4-(4-chlorophenyl)-10-methyl-11-oxo-3,4,10,11-tetrahydro-1H-1,4,10-triazadibenzo[cd,f]azulene-2-carbonitrile",G,0.00085,0.0032,0.0278
202,FC1=C(C=CC(=C1)F)N1C=C2C=C(C3=C(C4=C2C1CC(N4)C(=O)NCC)C(N(C=C3)C)=O)CS(=O)(=O)C,"4-(2,4-difluorophenyl)-N-ethyl-10-methyl-7-((methylsulfonyl)methyl)-11-oxo-3,4,10,11-tetrahydro-1H-1,4,10-triazadibenzo[cd,f]azulene-2-carboxamide",G,0.00079,0.00035,0.0043
203,C(#N)C1=CC=C(C=C1)N1C=C2C=C(C3=C(C4=C2C1CC(N4)C(=O)NCC)C(N(C=C3)C)=O)CS(=O)(=O)C,"4-(4-cyanophenyl)-N-ethyl-10-methyl-7-((methylsulfonyl)methyl)-11-oxo-3,4,10,11-tetrahydro-1H-1,4,10-triazadibenzo[cd,f]azulene-2-carboxamide",G,0.00099,0.00071,0.00543
204,FC1=C(C=CC(=C1)F)N1C=C2C=C(C3=C(C4=C2C1[C@@H](CN4)CN4C(C1=CC=CC=C1C4=O)=O)C(N(C=C3)C)=O)CS(=O)(=O)C,"(S)-2-((4-(2,4-difluorophenyl)-10-methyl-7-((methylsulfonyl)methyl)-11-oxo-3,4,10,11-tetrahydro-1H-1,4,10-triazadibenzo[cd,f]azulen-3-yl)methyl)isoindoline-1,3-dione",G,0.0461,0.00122,> 1
205,FC1=C(C=CC(=C1)F)N1C=C2C=C(C3=C(C4=C2C1[C@H](CN4)CN4C(C1=CC=CC=C1C4=O)=O)C(N(C=C3)C)=O)CS(=O)(=O)C,"(R)-2-((4-(2,4-difluorophenyl)-10-methyl-7-((methylsulfonyl)methyl)-11-oxo-3,4,10,11-tetrahydro-1H-1,4,10-triazadibenzo[cd,f]azulen-3-yl)methyl)isoindoline-1,3-dione",G,0.2,0.0291,> 1
206,FC1=C(C=CC(=C1)F)N1C(=C2C=C(C3=C(C4=C2C1CCN4)C(N(C=C3)C)=O)CS(=O)(=O)C)C#N,"4-(2,4-difluorophenyl)-10-methyl-7-((methylsulfonyl)methyl)-11-oxo-3,4,10,11-tetrahydro-1H-1,4,10-triazadibenzo[cd,f]azulene-5-carbonitrile",G,0.00096,0.00051,0.00141
207,CN1C=CC2=C(C3=C4C(N(C=C4C=C2CS(=O)(=O)C)C2=NC=CC=C2)CCN3)C1=O,"10-methyl-7-((methylsulfonyl)methyl)-4-(pyridin-2-yl)-3,4-dihydro-1H-1,4,10-triazadibenzo[cd,f]azulen-11(10H)-one",G,0.00092,0.00209,0.00133
208,FC1=C(C=CC(=C1)F)N1C=C2C=C(C3=C(C4=C2C1CC(N4)C(=O)OCC)C(N(C=C3)C)=O)CS(=O)(=O)C,"ethyl 4-(2,4-difluorophenyl)-10-methyl-7-((methylsulfonyl)methyl)-11-oxo-3,4,10,11-tetrahydro-1H-1,4,10-triazadibenzo[cd,f]azulene-2-carboxylate",G,0.00341,0.00115,0.0107
209,FC1=C(C=CC(=C1)F)N1C=C2C=C(C3=C(C4=C2C1CC(N4)C(=O)N)C(N(C=C3)C)=O)CS(=O)(=O)C,"4-(2,4-difluorophenyl)-10-methyl-7-((methylsulfonyl)methyl)-11-oxo-3,4,10,11-tetrahydro-1H-1,4,10-triazadibenzo[cd,f]azulene-2-carboxamide",G,0.0012,0.00086,0.00654
210,FC1=C(C=CC(=C1)F)N1C=C2C=C(C3=C(C4=C2C1CC(N4)C#N)C(N(C=C3)C)=O)CS(=O)(=O)C,"4-(2,4-difluorophenyl)-10-methyl-7-((methylsulfonyl)methyl)-11-oxo-3,4,10,11-tetrahydro-1H-1,4,10-triazadibenzo[cd,f]azulene-2-carbonitrile",G,0.00172,0.0008,0.0133
211,CN1C=CC2=C(C3=C4C(N(C=C4C=C2CS(=O)(=O)C)C2=CC(=C(C(=C2)OC)OC)OC)CCN3)C1=O,"10-methyl-7-((methylsulfonyl)methyl)-4-(3,4,5-trimethoxyphenyl)-3,4-dihydro-1H-1,4,10-triazadibenzo[cd,f]azulen-11(10H)-one",G,0.00567,0.00747,0.118
212,NC1CCC(CC1)N1C=C2C=C(C3=C(C4=C2C1CCN4)C(N(C=C3)C)=O)CS(=O)(=O)C,"4-(4-aminocyclohexyl)-10-methyl-7-((methylsulfonyl)methyl)-3,4-dihydro-1H-1,4,10-triazadibenzo[cd,f]azulen-11(10H)-one",G,0.00239,0.005,0.155
213,FC=1C(=NC=C(C1)F)N1C=C2C=C(C3=C(C4=C2C1CCN4)C(N(C=C3)C)=O)CS(=O)(=O)C,"4-(3,5-difluoropyridin-2-yl)-10-methyl-7-((methylsulfonyl)methyl)-3,4-dihydro-1H-1,4,10-triazadibenzo[cd,f]azulen11(10H)-one",G,0.00065,0.00042,0.0014
