Example_Number,SMILES,Chemical_Name,TR-FRET assay protocol,Ki_BDI_uM,Ki_BDII_uM,Cellular proliferation: EC50 (μM)
86,CN1C=CC2=C(C3=C4C(N(C=C4C=C2CS(=O)(=O)C)C(=O)OCCOC)CCN3)C1=O,"2-methoxyethyl 10-methyl-7-((methylsulfonyl)methyl)-11-oxo-10,11-dihydro-1H-1,4,10-triazadibenzo[cd,f]azulene-4(3H)-carboxylate",G,0.0103,0.0139,ND
87,CN1C=CC2=C(C3=C4C(N(C=C4C=C2CS(=O)(=O)C)C(=O)OCC)CCN3)C1=O,"ethyl 10-methyl-7-((methylsulfonyl)methyl)-11-oxo-10,11-dihydro-1H-1,4,10-triazadibenzo[cd,f]azulene-4(3H)-carboxylate",G,0.00254,0.0021,0.00469
88,CN1C=CC2=C(C3=C4C(N(C=C4C=C2CS(=O)(=O)C)C(=O)OCCCCC)CCN3)C1=O,"pentyl 10-methyl-7-((methylsulfonyl)methyl)-11-oxo-10,11-dihydro-1H-1,4,10-triazadibenzo[cd,f]azulene-4(3H)-carboxylate",G,0.00346,0.00176,ND
89,CN1C=CC2=C(C3=C4C(N(C=C4C=C2CS(=O)(=O)C)C(=O)OCCCCCl)CCN3)C1=O,"4-chlorobutyl 10-methyl-7-((methylsulfonyl)methyl)-11-oxo-10,11-dihydro-1H-1,4,10-triazadibenzo[cd,f]azulene-4(3H)-carboxylate",G,0.00577,0.00453,ND
90,CN1C=CC2=C(C3=C4C(N(C=C4C=C2CS(=O)(=O)C)C(=O)OC2=CC4=CC=CC=C4C=C2)CCN3)C1=O,"naphthalen-2-yl 10-methyl-7-((methylsulfonyl)methyl)-11-oxo-10,11-dihydro-1H-1,4,10-triazadibenzo[cd,f]azulene4(3H)-carboxylate",G,0.00132,0.00201,0.0306
91,CN1C=CC2=C(C3=C4C(N(C=C4C=C2CS(=O)(=O)C)C(=O)OC2=CC=C(C=C2)C)CCN3)C1=O,"p-tolyl 10-methyl-7-((methylsulfonyl)methyl)-11-oxo-10,11-dihydro-1H-1,4,10-triazadibenzo[cd,f]azulene-4(3H)-carboxylate",G,0.00327,0.00115,0.00181
92,CN1C=CC2=C(C3=C4C(N(C=C4C=C2CS(=O)(=O)C)C(=O)OCC(C)(C)C)CCN3)C1=O,"neopentyl 10-methyl-7-((methylsulfonyl)methyl)-11-oxo-10,11-dihydro-1H-1,4,10-triazadibenzo[cd,f]azulene-4(3H)-carboxylate",G,0.00374,0.00558,ND
93,CN1C=CC2=C(C3=C4C(N(C=C4C=C2CS(=O)(=O)C)C(=O)OC2=CC=CC=C2)CCN3)C1=O,"phenyl 10-methyl-7-((methylsulfonyl)methyl)-11-oxo-10,11-dihydro-1H-1,4,10-triazadibenzo[cd,f]azulene-4(3H)-carboxylate",G,0.00284,0.00163,0.00259
94,CN1C=CC2=C(C3=C4C(N(C=C4C=C2CS(=O)(=O)C)C(=O)OC2=CC=C(C=C2)F)CCN3)C1=O,"4-fluorophenyl 10-methyl-7-((methylsulfonyl)methyl)-11-oxo-10,11-dihydro-1H-1,4,10-triazadibenzo[cd,f]azulene-4(3H)-carboxylate",G,0.00603,0.00349,0.00602
95,CN1C=CC2=C(C3=C4C(N(C=C4C=C2CS(=O)(=O)C)C(=O)OC2=C(C=CC=C2)OC)CCN3)C1=O,"2-methoxyphenyl 10-methyl-7-((methylsulfonyl)methyl)-11-oxo-10,11-dihydro-1H-1,4,10-triazadibenzo[cd,f]azulene4(3H)-carboxylate",G,0.00218,0.00253,0.0141
